Id;MathScore;ReadingScore;WritingScore;fk_Student;Year
2103;72;55;84;525;2021
2104;26;45;70;526;2018
2105;28;53;21;526;2019
2106;25;55;21;526;2020
2107;22;66;29;526;2021
2108;34;64;51;527;2018
2109;37;52;27;527;2019
2110;35;62;32;527;2020
2111;35;50;42;527;2021
2112;34;31;61;528;2018
2113;31;28;42;528;2019
2114;27;27;24;528;2020
2115;20;24;28;528;2021
2116;38;42;40;529;2018
2117;31;48;45;529;2019
2118;30;48;37;529;2020
2119;27;60;27;529;2021
2120;91;50;30;530;2018
2121;74;49;104;530;2019
2122;73;38;86;530;2020
2123;82;47;75;530;2021
2124;46;56;42;531;2018
2125;46;60;46;531;2019
2126;43;49;44;531;2020
2127;47;42;33;531;2021
2128;45;35;64;532;2018
2129;36;35;35;532;2019
2130;38;40;36;532;2020
2131;32;48;30;532;2021
2132;43;28;57;533;2018
2133;50;22;38;533;2019
2134;51;23;41;533;2020
2135;53;28;42;533;2021
2136;62;35;28;534;2018
2137;54;39;75;534;2019
2138;53;44;50;534;2020
2139;44;35;60;534;2021
2140;47;41;42;535;2018
2141;56;40;58;535;2019
2142;57;33;48;535;2020
2143;70;37;44;535;2021
2144;48;47;40;536;2018
2145;56;50;48;536;2019
2146;54;44;68;536;2020
2147;53;44;50;536;2021
2148;76;49;48;537;2018
2149;90;60;86;537;2019
2150;68;57;80;537;2020
2151;67;54;63;537;2021
2152;46;59;76;538;2018
2153;40;66;53;538;2019
2154;35;70;50;538;2020
2155;42;75;27;538;2021
2156;71;56;57;539;2018
2157;77;54;77;539;2019
2158;93;65;69;539;2020
2159;95;72;103;539;2021
2160;56;43;63;540;2018
2161;69;38;60;540;2019
2162;61;38;66;540;2020
2163;60;36;64;540;2021
2164;48;51;51;541;2018
2165;52;42;47;541;2019
2166;58;41;56;541;2020
2167;72;41;60;541;2021
2168;87;57;81;542;2018
2169;92;47;90;542;2019
2170;104;58;87;542;2020
2171;95;61;127;542;2021
2172;57;55;78;543;2018
2173;62;46;54;543;2019
2174;54;45;62;543;2020
2175;44;41;41;543;2021
2176;26;53;57;544;2018
2177;29;51;24;544;2019
2178;22;47;23;544;2020
2179;21;46;26;544;2021
2180;53;58;31;545;2018
2181;51;66;40;545;2019
2182;62;70;52;545;2020
2183;72;82;63;545;2021
2184;30;41;48;546;2018
2185;26;34;28;546;2019
2186;22;32;25;546;2020
2187;25;31;27;546;2021
2188;37;41;51;547;2018
2189;31;49;30;547;2019
2190;37;51;37;547;2020
2191;45;44;40;547;2021
2192;71;34;85;548;2018
2193;58;26;81;548;2019
2194;47;26;61;548;2020
2195;52;32;44;548;2021
2196;42;39;83;549;2018
2197;32;33;36;549;2019
2198;36;35;36;549;2020
2199;41;30;39;549;2021
2200;50;78;60;550;2018
2201;52;61;39;550;2019
2202;49;66;63;550;2020
2203;54;74;46;550;2021
2204;53;37;26;551;2018
2205;56;31;60;551;2019
2206;45;25;60;551;2020
2207;34;19;55;551;2021
2208;34;39;33;552;2018
2209;41;35;41;552;2019
2210;36;33;35;552;2020
2211;30;34;28;552;2021
2212;63;33;54;553;2018
2213;66;25;72;553;2019
2214;63;20;50;553;2020
2215;71;23;74;553;2021
2216;35;53;50;554;2018
2217;37;47;35;554;2019
2218;41;53;30;554;2020
2219;41;50;48;554;2021
2220;90;55;35;555;2018
2221;86;61;89;555;2019
2222;74;59;79;555;2020
2223;89;49;56;555;2021
2224;66;81;31;556;2018
2225;67;61;61;556;2019
2226;66;52;66;556;2020
2227;81;64;61;556;2021
2228;39;57;46;557;2018
2229;33;64;40;557;2019
2230;30;62;30;557;2020
2231;34;55;25;557;2021
2232;90;33;50;558;2018
2233;68;25;99;558;2019
2234;68;19;65;558;2020
2235;68;18;79;558;2021
2236;45;81;45;559;2018
2237;44;98;45;559;2019
2238;49;81;45;559;2020
2239;48;83;52;559;2021
2240;45;29;50;560;2018
2241;50;34;51;560;2019
2242;43;33;48;560;2020
2243;39;31;33;560;2021
2244;36;58;26;561;2018
2245;43;47;28;561;2019
2246;33;41;43;561;2020
2247;27;49;30;561;2021
2248;54;59;27;562;2018
2249;49;73;55;562;2019
2250;47;82;43;562;2020
2251;46;80;46;562;2021
2252;35;42;41;563;2018
2253;32;46;32;563;2019
2254;33;49;27;563;2020
2255;41;43;38;563;2021
2256;24;37;49;564;2018
2257;23;35;23;564;2019
2258;25;33;25;564;2020
2259;28;28;21;564;2021
2260;57;36;43;565;2018
2261;70;39;48;565;2019
2262;84;45;58;565;2020
2263;77;40;70;565;2021
2264;26;35;25;566;2018
2265;26;32;22;566;2019
2266;26;30;23;566;2020
2267;25;29;27;566;2021
2268;62;37;39;567;2018
2269;51;42;55;567;2019
2270;52;45;46;567;2020
2271;61;51;54;567;2021
2272;36;62;74;568;2018
2273;33;54;30;568;2019
2274;35;46;39;568;2020
2275;37;35;30;568;2021
2276;61;57;52;569;2018
2277;53;60;49;569;2019
2278;42;49;51;569;2020
2279;35;37;39;569;2021
2280;41;46;42;570;2018
2281;35;54;33;570;2019
2282;28;50;35;570;2020
2283;32;57;26;570;2021
2284;30;32;60;571;2018
2285;32;25;37;571;2019
2286;36;20;32;571;2020
2287;27;23;39;571;2021
2288;41;29;85;572;2018
2289;37;28;32;572;2019
2290;42;30;32;572;2020
2291;49;28;35;572;2021
2292;42;42;62;573;2018
2293;44;52;32;573;2019
2294;44;41;54;573;2020
2295;46;45;37;573;2021
2296;42;34;30;574;2018
2297;37;40;45;574;2019
2298;31;41;38;574;2020
2299;31;45;26;574;2021
2300;27;60;56;575;2018
2301;22;74;26;575;2019
2302;18;74;17;575;2020
2303;18;67;20;575;2021
2304;57;35;70;576;2018
2305;67;36;50;576;2019
2306;68;34;71;576;2020
2307;65;31;82;576;2021
2308;50;36;64;577;2018
2309;58;30;43;577;2019
2310;52;27;62;577;2020
2311;61;28;42;577;2021
2312;81;55;82;578;2018
2313;87;68;71;578;2019
2314;81;73;81;578;2020
2315;86;73;86;578;2021
2316;63;52;28;579;2018
2317;66;48;56;579;2019
2318;55;45;77;579;2020
2319;59;55;50;579;2021
2320;33;59;61;580;2018
2321;33;64;27;580;2019
2322;28;72;32;580;2020
2323;32;85;35;580;2021
2324;74;64;75;581;2018
2325;76;56;66;581;2019
2326;61;60;58;581;2020
2327;53;50;53;581;2021
2328;82;41;42;582;2018
2329;77;32;62;582;2019
2330;67;33;60;582;2020
2331;83;34;65;582;2021
2332;49;33;39;583;2018
2333;43;34;60;583;2019
2334;38;40;49;583;2020
2335;42;44;30;583;2021
2336;55;81;53;584;2018
2337;58;96;42;584;2019
2338;62;118;49;584;2020
2339;48;112;48;584;2021
2340;50;51;40;585;2018
2341;55;45;40;585;2019
2342;59;46;46;585;2020
2343;66;50;48;585;2021
2344;47;67;33;586;2018
2345;51;70;54;586;2019
2346;40;78;49;586;2020
2347;35;81;38;586;2021
2348;37;76;60;587;2018
2349;40;75;35;587;2019
2350;49;67;50;587;2020
2351;38;56;56;587;2021
2352;64;32;48;588;2018
2353;73;37;62;588;2019
2354;60;33;70;588;2020
2355;63;40;57;588;2021
2356;33;78;89;589;2018
2357;40;77;30;589;2019
2358;35;67;35;589;2020
2359;30;55;28;589;2021
2360;33;54;54;590;2018
2361;40;41;38;590;2019
2362;38;40;48;590;2020
2363;35;46;40;590;2021
2364;56;65;55;591;2018
2365;49;77;48;591;2019
2366;60;73;52;591;2020
2367;48;80;62;591;2021
2368;31;60;49;592;2018
2369;26;53;34;592;2019
2370;31;52;31;592;2020
2371;29;53;33;592;2021
2372;46;45;61;593;2018
2373;56;35;54;593;2019
2374;47;30;66;593;2020
2375;41;31;52;593;2021
2376;56;74;48;594;2018
2377;44;77;45;594;2019
2378;38;60;50;594;2020
2379;38;53;38;594;2021
2380;44;47;53;595;2018
2381;50;58;49;595;2019
2382;49;49;43;595;2020
2383;56;48;48;595;2021
2384;29;37;42;596;2018
2385;31;29;25;596;2019
2386;38;34;31;596;2020
2387;44;37;29;596;2021
2388;75;47;54;597;2018
2389;60;48;91;597;2019
2390;54;47;72;597;2020
2391;61;57;53;597;2021
2392;47;39;82;598;2018
2393;36;43;45;598;2019
2394;30;43;31;598;2020
2395;28;39;35;598;2021
2396;41;47;30;599;2018
2397;42;43;35;599;2019
2398;44;37;51;599;2020
2399;44;37;38;599;2021
2400;50;52;57;600;2018
2401;49;56;46;600;2019
2402;44;66;53;600;2020
2403;34;75;53;600;2021
2404;65;41;56;601;2018
2405;58;45;56;601;2019
2406;72;53;50;601;2020
2407;87;55;71;601;2021
2408;36;32;37;602;2018
2409;28;38;30;602;2019
2410;22;42;33;602;2020
2411;22;40;18;602;2021
2412;25;69;55;603;2018
2413;25;53;26;603;2019
2414;29;58;22;603;2020
2415;27;72;34;603;2021
2416;39;42;55;604;2018
2417;36;44;31;604;2019
2418;42;35;36;604;2020
2419;37;31;33;604;2021
2420;90;78;35;605;2018
2421;85;89;97;605;2019
2422;104;108;65;605;2020
2423;78;112;114;605;2021
2424;23;54;64;606;2018
2425;23;49;26;606;2019
2426;25;54;19;606;2020
2427;23;45;29;606;2021
2428;69;75;49;607;2018
2429;70;69;70;607;2019
2430;65;68;81;607;2020
2431;77;76;49;607;2021
2432;40;79;35;608;2018
2433;38;84;47;608;2019
2434;34;81;29;608;2020
2435;31;90;27;608;2021
2436;51;34;41;609;2018
2437;60;34;58;609;2019
2438;55;27;48;609;2020
2439;44;31;68;609;2021
2440;87;78;38;610;2018
2441;98;64;84;610;2019
2442;98;79;93;610;2020
2443;88;95;90;610;2021
2444;46;58;44;611;2018
2445;39;45;57;611;2019
2446;40;38;37;611;2020
2447;47;35;38;611;2021
2448;60;44;67;612;2018
2449;74;51;47;612;2019
2450;61;48;62;612;2020
2451;71;36;75;612;2021
2452;30;36;41;613;2018
2453;29;39;31;613;2019
2454;34;32;32;613;2020
2455;32;25;39;613;2021
2456;60;37;81;614;2018
2457;47;31;68;614;2019
2458;50;30;54;614;2020
2459;49;25;41;614;2021
2460;50;53;27;615;2018
2461;55;43;52;615;2019
2462;56;47;52;615;2020
2463;57;53;65;615;2021
2464;30;71;66;616;2018
2465;27;63;27;616;2019
2466;33;50;27;616;2020
2467;27;45;33;616;2021
2468;71;40;59;617;2018
2469;84;50;60;617;2019
2470;70;46;104;617;2020
2471;64;57;57;617;2021
2472;55;36;64;618;2018
2473;52;43;56;618;2019
2474;63;42;58;618;2020
2475;50;40;73;618;2021
2476;25;43;26;619;2018
2477;30;47;21;619;2019
2478;24;45;37;619;2020
2479;25;38;19;619;2021
2480;28;39;52;620;2018
2481;31;35;26;620;2019
2482;24;43;38;620;2020
2483;21;53;29;620;2021
2484;76;68;27;621;2018
2485;71;65;77;621;2019
2486;53;66;76;621;2020
2487;64;69;44;621;2021
2488;30;50;67;622;2018
2489;24;60;30;622;2019
2490;19;56;18;622;2020
2491;19;65;24;622;2021
2492;57;41;61;623;2018
2493;53;44;69;623;2019
2494;47;38;53;623;2020
2495;48;37;43;623;2021
2496;49;53;28;624;2018
2497;60;52;53;624;2019
2498;56;55;62;624;2020
2499;50;42;61;624;2021
2500;43;57;90;625;2018
2501;36;57;33;625;2019
2502;31;48;38;625;2020
2503;33;54;25;625;2021
2504;59;50;69;626;2018
2505;72;46;65;626;2019
2506;75;48;71;626;2020
2507;59;40;82;626;2021
2508;43;57;78;627;2018
2509;50;55;50;627;2019
2510;54;54;59;627;2020
2511;57;48;48;627;2021
2512;47;31;90;628;2018
2513;52;29;42;628;2019
2514;44;33;41;628;2020
2515;35;34;55;628;2021
2516;57;39;48;629;2018
2517;66;44;69;629;2019
2518;69;49;77;629;2020
2519;56;49;56;629;2021
2520;50;43;62;630;2018
2521;47;50;41;630;2019
2522;42;48;43;630;2020
2523;47;39;38;630;2021
2524;24;69;39;631;2018
2525;29;65;23;631;2019
2526;34;77;23;631;2020
2527;41;86;33;631;2021
2528;34;37;41;632;2018
2529;36;34;38;632;2019
2530;38;39;37;632;2020
2531;47;38;30;632;2021
2532;53;38;50;633;2018
2533;42;37;57;633;2019
2534;46;31;42;633;2020
2535;46;31;53;633;2021
2536;48;59;83;634;2018
2537;57;59;53;634;2019
2538;51;60;47;634;2020
2539;42;53;63;634;2021
2540;23;60;33;635;2018
2541;28;69;19;635;2019
2542;27;80;24;635;2020
2543;28;69;31;635;2021
2544;45;52;88;636;2018
2545;42;43;51;636;2019
2546;47;47;44;636;2020
2547;54;47;57;636;2021
2548;59;34;28;637;2018
2549;52;38;63;637;2019
2550;62;47;58;637;2020
2551;70;57;54;637;2021
2552;37;58;64;638;2018
2553;41;56;44;638;2019
2554;47;43;43;638;2020
2555;49;38;50;638;2021
2556;55;35;85;639;2018
2557;54;40;49;639;2019
2558;49;40;55;639;2020
2559;44;40;58;639;2021
2560;45;40;50;640;2018
2561;40;44;49;640;2019
2562;44;52;32;640;2020
2563;52;51;42;640;2021
2564;53;30;57;641;2018
2565;48;34;49;641;2019
2566;39;34;54;641;2020
2567;33;36;35;641;2021
2568;55;83;30;642;2018
2569;59;91;59;642;2019
2570;57;69;64;642;2020
2571;53;56;45;642;2021
2572;78;53;63;643;2018
2573;67;55;63;643;2019
2574;53;63;64;643;2020
2575;66;62;55;643;2021
2576;64;69;38;644;2018
2577;54;66;76;644;2019
2578;46;69;60;644;2020
2579;40;64;52;644;2021
2580;50;33;58;645;2018
2581;57;35;48;645;2019
2582;53;28;45;645;2020
2583;60;31;49;645;2021
2584;30;76;42;646;2018
2585;23;89;33;646;2019
2586;24;103;22;646;2020
2587;26;82;26;646;2021
2588;49;50;27;647;2018
2589;48;60;43;647;2019
2590;36;74;43;647;2020
2591;30;73;32;647;2021
2592;48;51;71;648;2018
2593;55;51;38;648;2019
2594;66;42;59;648;2020
2595;51;35;73;648;2021
2596;93;83;38;649;2018
2597;97;72;76;649;2019
2598;103;75;74;649;2020
2599;118;70;114;649;2021
2600;36;40;60;650;2018
2601;29;43;32;650;2019
2602;23;50;31;650;2020
2603;28;39;23;650;2021
2604;53;43;39;651;2018
2605;48;46;52;651;2019
2606;43;49;41;651;2020
2607;34;55;53;651;2021
2608;69;33;43;652;2018
2609;60;36;69;652;2019
2610;49;38;52;652;2020
2611;51;35;61;652;2021
2612;36;55;54;653;2018
2613;44;48;32;653;2019
2614;52;40;39;653;2020
2615;48;39;54;653;2021
2616;70;46;50;654;2018
2617;83;56;81;654;2019
2618;86;45;77;654;2020
2619;74;41;72;654;2021
2620;44;36;51;655;2018
2621;34;29;44;655;2019
2622;27;27;39;655;2020
2623;33;22;27;655;2021
2624;54;35;78;656;2018
2625;53;31;45;656;2019
2626;62;39;43;656;2020
2627;49;46;77;656;2021
2628;67;30;78;657;2018
2629;69;25;71;657;2019
2630;56;29;84;657;2020
2631;66;23;68;657;2021
2632;83;81;43;658;2018
2633;87;67;93;658;2019
2634;106;50;99;658;2020
2635;107;51;131;658;2021
2636;45;66;29;659;2018
2637;45;51;52;659;2019
2638;40;47;47;659;2020
2639;30;43;43;659;2021
2640;28;34;50;660;2018
2641;23;33;25;660;2019
2642;21;29;26;660;2020
2643;21;24;22;660;2021
2644;25;41;36;661;2018
2645;27;37;19;661;2019
2646;21;38;21;661;2020
2647;17;38;18;661;2021
2648;53;66;30;662;2018
2649;41;66;61;662;2019
2650;45;68;40;662;2020
2651;46;56;39;662;2021
2652;37;60;37;663;2018
2653;43;64;30;663;2019
2654;52;51;37;663;2020
2655;62;43;56;663;2021
2656;88;62;48;664;2018
2657;81;53;109;664;2019
2658;77;64;63;664;2020
2659;74;71;75;664;2021
2660;31;60;42;665;2018
2661;28;54;38;665;2019
2662;28;46;29;665;2020
2663;21;44;26;665;2021
2664;34;83;37;666;2018
2665;31;93;27;666;2019
2666;30;87;24;666;2020
2667;34;101;25;666;2021
2668;44;33;44;667;2018
2669;41;34;40;667;2019
2670;40;34;37;667;2020
2671;37;36;36;667;2021
2672;57;41;41;668;2018
2673;63;40;65;668;2019
2674;50;48;62;668;2020
2675;60;45;53;668;2021
2676;46;81;43;669;2018
2677;47;91;45;669;2019
2678;57;80;45;669;2020
2679;69;69;57;669;2021
2680;92;66;52;670;2018
2681;107;65;96;670;2019
2682;109;61;116;670;2020
2683;106;49;129;670;2021
2684;58;38;45;671;2018
2685;71;41;44;671;2019
2686;55;37;57;671;2020
2687;58;31;48;671;2021
2688;30;51;44;672;2018
2689;23;60;32;672;2019
2690;21;64;18;672;2020
2691;19;69;16;672;2021
2692;47;33;43;673;2018
2693;50;33;53;673;2019
2694;48;27;49;673;2020
2695;51;33;54;673;2021
2696;32;58;33;674;2018
2697;24;47;30;674;2019
2698;22;50;21;674;2020
2699;26;60;20;674;2021
2700;75;36;57;675;2018
2701;72;28;72;675;2019
2702;56;33;78;675;2020
2703;70;39;42;675;2021
2704;63;81;82;676;2018
2705;53;79;68;676;2019
2706;51;60;46;676;2020
2707;51;64;52;676;2021
2708;54;65;58;677;2018
2709;63;55;54;677;2019
2710;74;68;48;677;2020
2711;87;65;73;677;2021
2712;52;44;44;678;2018
2713;40;40;58;678;2019
2714;32;48;31;678;2020
2715;25;43;30;678;2021
2716;57;74;82;679;2018
2717;67;76;67;679;2019
2718;83;81;66;679;2020
2719;81;66;86;679;2021
2720;42;77;40;680;2018
2721;32;88;39;680;2019
2722;32;88;32;680;2020
2723;29;94;37;680;2021
2724;88;37;78;681;2018
2725;76;31;77;681;2019
2726;59;31;78;681;2020
2727;65;36;71;681;2021
2728;66;81;41;682;2018
2729;55;73;78;682;2019
2730;47;81;57;682;2020
2731;44;96;48;682;2021
2732;46;67;48;683;2018
2733;36;57;47;683;2019
2734;44;59;43;683;2020
2735;51;46;34;683;2021
2736;36;39;43;684;2018
2737;30;34;28;684;2019
2738;27;40;28;684;2020
2739;22;30;23;684;2021
2740;33;65;58;685;2018
2741;37;55;32;685;2019
2742;39;43;30;685;2020
2743;34;52;36;685;2021
2744;47;53;63;686;2018
2745;46;49;45;686;2019
2746;56;46;38;686;2020
2747;51;45;47;686;2021
2748;26;43;53;687;2018
2749;31;47;23;687;2019
2750;38;53;35;687;2020
2751;34;58;33;687;2021
2752;63;44;37;688;2018
2753;55;41;54;688;2019
2754;44;49;50;688;2020
2755;50;47;34;688;2021
2756;55;41;69;689;2018
2757;64;31;44;689;2019
2758;54;33;74;689;2020
2759;45;41;56;689;2021
2760;76;43;53;690;2018
2761;94;50;94;690;2019
2762;71;55;105;690;2020
2763;58;60;85;690;2021
2764;57;59;26;691;2018
2765;68;49;60;691;2019
2766;73;54;60;691;2020
2767;73;54;78;691;2021
2768;65;36;31;692;2018
2769;71;41;55;692;2019
2770;78;36;59;692;2020
2771;82;30;95;692;2021
2772;66;35;28;693;2018
2773;67;42;82;693;2019
2774;66;51;74;693;2020
2775;67;61;63;693;2021
2776;67;31;59;694;2018
2777;58;35;73;694;2019
2778;51;38;55;694;2020
2779;60;37;48;694;2021
2780;78;69;25;695;2018
2781;64;68;96;695;2019
2782;50;60;77;695;2020
2783;47;61;61;695;2021
2784;35;37;30;696;2018
2785;30;35;36;696;2019
2786;37;37;30;696;2020
2787;38;37;37;696;2021
2788;62;30;28;697;2018
2789;60;27;67;697;2019
2790;63;24;52;697;2020
2791;48;23;62;697;2021
2792;25;41;44;698;2018
2793;30;43;24;698;2019
2794;35;36;23;698;2020
2795;35;28;29;698;2021
2796;50;80;51;699;2018
2797;59;75;57;699;2019
2798;68;73;66;699;2020
2799;71;55;62;699;2021
2800;78;47;31;700;2018
2801;97;40;66;700;2019
2802;76;33;112;700;2020
2803;90;37;58;700;2021
2804;42;51;37;701;2018
2805;49;40;46;701;2019
2806;59;46;54;701;2020
2807;62;36;52;701;2021
2808;79;40;43;702;2018
2809;65;39;63;702;2019
2810;55;40;51;702;2020
2811;61;40;61;702;2021
2812;79;49;26;703;2018
2813;96;40;81;703;2019
2814;76;38;117;703;2020
2815;72;29;72;703;2021
2816;46;37;74;704;2018
2817;48;40;55;704;2019
2818;51;45;50;704;2020
2819;59;35;51;704;2021
2820;46;35;58;705;2018
2821;57;30;36;705;2019
2822;67;33;48;705;2020
2823;61;29;78;705;2021
2824;60;74;36;706;2018
2825;52;84;66;706;2019
2826;53;97;54;706;2020
2827;65;121;60;706;2021
2828;36;39;43;707;2018
2829;38;42;32;707;2019
2830;47;32;31;707;2020
2831;54;39;44;707;2021
2832;64;70;80;708;2018
2833;67;56;62;708;2019
2834;59;70;52;708;2020
2835;61;80;55;708;2021
2836;64;53;43;709;2018
2837;61;48;64;709;2019
2838;57;50;65;709;2020
2839;44;55;46;709;2021
2840;56;77;59;710;2018
2841;64;72;59;710;2019
2842;56;89;53;710;2020
2843;61;100;69;710;2021
2844;70;46;62;711;2018
2845;61;52;53;711;2019
2846;48;49;68;711;2020
2847;53;39;45;711;2021
2848;65;40;85;712;2018
2849;76;34;72;712;2019
2850;83;30;66;712;2020
2851;78;27;103;712;2021
2852;57;75;42;713;2018
2853;54;80;51;713;2019
2854;56;80;59;713;2020
2855;55;66;67;713;2021
2856;58;33;27;714;2018
2857;72;32;48;714;2019
2858;59;31;66;714;2020
2859;45;31;57;714;2021
2860;61;57;33;715;2018
2861;72;69;50;715;2019
2862;58;80;65;715;2020
2863;54;68;61;715;2021
2864;88;65;60;716;2018
2865;107;67;79;716;2019
2866;86;61;130;716;2020
2867;107;67;105;716;2021
2868;90;75;58;717;2018
2869;107;84;107;717;2019
2870;132;95;128;717;2020
2871;135;110;122;717;2021
2872;51;49;31;718;2018
2873;57;49;38;718;2019
2874;45;46;60;718;2020
2875;41;41;36;718;2021
2876;60;40;45;719;2018
2877;51;49;64;719;2019
2878;47;54;60;719;2020
2879;47;66;43;719;2021
2880;51;68;32;720;2018
2881;59;62;62;720;2019
2882;62;54;69;720;2020
2883;72;41;55;720;2021
2884;70;62;72;721;2018
2885;61;70;68;721;2019
2886;64;67;74;721;2020
2887;55;82;53;721;2021
2888;60;35;56;722;2018
2889;64;37;73;722;2019
2890;70;40;54;722;2020
2891;79;39;82;722;2021
2892;45;41;35;723;2018
2893;51;41;41;723;2019
2894;63;43;39;723;2020
2895;76;38;49;723;2021
2896;26;69;67;724;2018
2897;30;57;26;724;2019
2898;36;51;28;724;2020
2899;42;50;38;724;2021
2900;41;69;68;725;2018
2901;48;53;42;725;2019
2902;46;46;51;725;2020
2903;38;46;46;725;2021
2904;29;54;31;726;2018
2905;32;47;23;726;2019
2906;25;44;37;726;2020
2907;30;42;30;726;2021
2908;30;71;80;727;2018
2909;37;55;27;727;2019
2910;44;47;34;727;2020
2911;54;48;40;727;2021
2912;40;55;37;728;2018
2913;34;50;43;728;2019
2914;42;43;35;728;2020
2915;43;50;39;728;2021
2916;34;52;77;729;2018
2917;34;54;34;729;2019
2918;42;56;26;729;2020
2919;44;65;38;729;2021
2920;45;71;27;730;2018
2921;50;72;41;730;2019
2922;52;83;41;730;2020
2923;53;91;42;730;2021
2924;25;70;35;731;2018
2925;19;76;26;731;2019
2926;17;80;15;731;2020
2927;14;83;18;731;2021
2928;28;48;43;732;2018
2929;31;50;33;732;2019
2930;24;50;26;732;2020
2931;21;62;19;732;2021
2932;47;49;29;733;2018
2933;46;52;44;733;2019
2934;54;55;35;733;2020
2935;60;58;67;733;2021
2936;27;41;57;734;2018
2937;30;38;22;734;2019
2938;27;30;29;734;2020
2939;21;29;23;734;2021
2940;44;47;44;735;2018
2941;39;56;38;735;2019
2942;32;58;47;735;2020
2943;28;61;30;735;2021
2944;66;62;88;736;2018
2945;61;52;62;736;2019
2946;64;64;66;736;2020
2947;52;55;50;736;2021
2948;70;38;44;737;2018
2949;80;30;78;737;2019
2950;67;31;97;737;2020
2951;79;38;58;737;2021
2952;79;56;34;738;2018
2953;61;49;70;738;2019
2954;73;55;75;738;2020
2955;90;66;67;738;2021
2956;41;54;41;739;2018
2957;33;43;48;739;2019
2958;40;46;27;739;2020
2959;37;52;47;739;2021
2960;38;50;70;740;2018
2961;42;52;29;740;2019
2962;49;64;51;740;2020
2963;53;64;60;740;2021
2964;49;53;52;741;2018
2965;44;54;59;741;2019
2966;49;45;39;741;2020
2967;56;40;61;741;2021
2968;34;53;89;742;2018
2969;34;64;31;742;2019
2970;26;57;41;742;2020
2971;24;45;20;742;2021
2972;33;39;34;743;2018
2973;26;30;26;743;2019
2974;22;33;30;743;2020
2975;19;26;17;743;2021
2976;32;67;43;744;2018
2977;40;61;38;744;2019
2978;32;58;31;744;2020
2979;25;59;25;744;2021
2980;41;34;28;745;2018
2981;43;33;34;745;2019
2982;34;30;49;745;2020
2983;26;27;29;745;2021
2984;44;70;48;746;2018
2985;51;68;35;746;2019
2986;55;83;62;746;2020
2987;57;81;44;746;2021
2988;26;71;44;747;2018
2989;21;87;21;747;2019
2990;21;73;21;747;2020
2991;16;67;20;747;2021
2992;63;44;59;748;2018
2993;73;53;55;748;2019
2994;58;41;84;748;2020
2995;70;34;62;748;2021
2996;31;72;82;749;2018
2997;38;78;33;749;2019
2998;47;88;33;749;2020
2999;54;85;55;749;2021
3000;53;52;46;750;2018
3001;40;57;61;750;2019
3002;48;66;47;750;2020
3003;54;81;59;750;2021
3004;43;35;61;751;2018
3005;34;40;35;751;2019
3006;36;42;42;751;2020
3007;33;33;41;751;2021
3008;79;70;63;752;2018
3009;75;76;97;752;2019
3010;62;63;92;752;2020
3011;61;48;57;752;2021
3012;53;29;52;753;2018
3013;53;34;44;753;2019
3014;48;26;50;753;2020
3015;39;32;54;753;2021
3016;31;52;53;754;2018
3017;35;47;29;754;2019
3018;42;50;29;754;2020
3019;52;55;44;754;2021
3020;55;43;28;755;2018
3021;49;44;62;755;2019
3022;52;35;58;755;2020
3023;55;41;57;755;2021
3024;26;56;43;756;2018
3025;21;64;25;756;2019
3026;25;61;22;756;2020
3027;30;51;29;756;2021
3028;83;52;53;757;2018
3029;94;58;90;757;2019
3030;101;50;71;757;2020
3031;122;45;95;757;2021
3032;53;37;33;758;2018
3033;60;36;54;758;2019
3034;65;28;73;758;2020
3035;75;22;81;758;2021
3036;44;83;35;759;2018
3037;48;76;38;759;2019
3038;41;65;55;759;2020
3039;42;78;44;759;2021
3040;80;35;62;760;2018
3041;60;36;74;760;2019
3042;66;42;64;760;2020
3043;58;47;81;760;2021
3044;42;31;34;761;2018
3045;41;27;44;761;2019
3046;39;31;45;761;2020
3047;35;36;45;761;2021
3048;69;67;41;762;2018
3049;74;63;65;762;2019
3050;89;77;88;762;2020
3051;95;65;88;762;2021
3052;36;78;45;763;2018
3053;40;67;37;763;2019
3054;38;72;32;763;2020
3055;33;59;44;763;2021
3056;37;50;62;764;2018
3057;43;54;35;764;2019
3058;33;59;43;764;2020
3059;39;50;29;764;2021
3060;32;48;40;765;2018
3061;35;37;32;765;2019
3062;40;29;34;765;2020
3063;48;34;37;765;2021
3064;50;62;52;766;2018
3065;41;52;58;766;2019
3066;40;54;47;766;2020
3067;40;64;34;766;2021
3068;52;31;65;767;2018
3069;41;36;47;767;2019
3070;51;35;35;767;2020
3071;61;39;62;767;2021
3072;61;42;56;768;2018
3073;60;49;64;768;2019
3074;49;49;62;768;2020
3075;43;39;41;768;2021
3076;33;46;74;769;2018
3077;30;53;27;769;2019
3078;31;44;24;769;2020
3079;26;48;32;769;2021
3080;82;44;27;770;2018
3081;73;49;81;770;2019
3082;80;59;86;770;2020
3083;75;52;85;770;2021
3084;46;30;58;771;2018
3085;48;30;43;771;2019
3086;39;33;39;771;2020
3087;30;32;36;771;2021
3088;53;48;37;772;2018
3089;53;57;45;772;2019
3090;41;44;65;772;2020
3091;45;47;48;772;2021
3092;37;48;29;773;2018
3093;29;43;29;773;2019
3094;31;46;25;773;2020
3095;29;35;26;773;2021
3096;90;49;29;774;2018
3097;88;39;91;774;2019
3098;90;40;73;774;2020
3099;75;36;92;774;2021
